tips.game.skinpacks	ストアのスキン パックを使えば、あなたのキャラクターの外見を変えられます。メイン メニューの 「ストア」 から品ぞろえをご覧ください
tips.game.1	アイアン ゴーレムは、あなたのために戦ってくれます!
tips.game.2	明るさの設定を変更すると、ゲームの明るさを調整できます
tips.game.3	難易度を「ピース」に設定すると、HP が自動的に回復し、夜間にモンスターが出現しなくなります!
tips.game.4	オオカミに骨を与えて手なずけましょう。おすわりさせたり、後ろをついてこさせたりできます
tips.game.5	カボチャを頭に装備していると、エンダーマンに襲われなくなります
tips.game.6	夜間にベッドで寝ると、朝まで時間をスキップすることができます。マルチプレイヤー ゲームでは、すべてのプレイヤーが寝ている必要があります
tips.game.7	豚、牛、羊、ウサギ、ニワトリから肉を手に入れましょう。そして、手に入れた肉を調理して食べ、体力を回復しましょう
tips.game.8	牛から手に入れた革を使って防具や本を作りましょう
tips.game.9	空のバケツがあれば、牛のミルクを搾ったり、水を汲んだり、溶岩を入れたりできます
tips.game.10	くわを使って、土地を耕しましょう
tips.game.11	日中のクモは、こちらから攻撃しないかぎり攻撃してきません
tips.game.12	動物にエサをやるとデスポーンしなくなります。囲いを作って、外敵からも守ってあげましょう
tips.game.13	調理した食べ物は、生の食べ物よりも空腹を満たします
tips.game.14	モンスターは暗闇の中に潜んでいます。たいまつをクラフトして、暗い場所を照らしましょう
tips.game.15	トロッコとレールを使えば、早く目的地に着けます
tips.game.16	苗木を植えれば、成長して木になります
tips.game.17	ピッグマンは、こちらから攻撃しないかぎり攻撃してきません
tips.game.18	ベッドで寝ることで、復活地点がそのベッドに変わり、夜から朝へ時間を早回しすることができます
tips.game.19	ガストに火の玉を打ち返してやりましょう!
tips.game.20	闇のポータルを作れば、別の世界である暗黒界に行くことができます
tips.game.22	目的に合ったツールを使いましょう! 土を掘るなら、ツルハシよりもシャベルの方が圧倒的に早く掘ることができます
tips.game.23	たいまつに使う石炭が見つからないときには、かまどを使って木から木炭を作ることができます
tips.game.24	真下や真上に掘り進むのは、賢いとはいえません
tips.game.25	ガイコツの骨から作れる骨粉は、肥料として使って、色々なものを一瞬で成長させることができます!
tips.game.26	クリーパーは近づくと爆発します!
tips.game.27	溶岩の源のブロックに水が触れると、黒曜石ができます
tips.game.28	水または溶岩の源のブロックを取り除くと、その流れが完全に止まります
tips.game.29	丸石はガストの火の玉を防いでくれるので、ポータルを守るのに使えます
tips.game.30	光源に使用できるブロックは、雪や氷を溶かすことができます。たいまつ、グロウストーン、カボチャ ランタンなどがあります
tips.game.31	雷がウールに当たると燃えてしまいます。屋外にウールで建物を建てるときは注意しましょう
tips.game.32	バケツ 1 杯の溶岩があれば、かまどで 100 個のブロックを精錬できます
tips.game.33	音ブロックで演奏される楽器は、ブロックの下の材質で変化します
tips.game.34	ゾンビやガイコツは、水につかっていたり、兜を装備している場合では、太陽の光に当たっても大丈夫です
tips.game.35	オオカミを攻撃すると、近くにいるすべてのオオカミが襲い掛かってきます。ゾンビ ピッグマンにも同じ習性があります
tips.game.36	オオカミとアイアン ゴーレムはクリーパーに攻撃しません
tips.game.37	ニワトリは  5 ～ 10 分ごとにタマゴを生みます
tips.game.38	黒曜石を掘り出すには、ダイヤモンドのツルハシが必要です
tips.game.39	クリーパーからは火薬が簡単に手に入ります
tips.game.41	チェスト 2 つを並べて配置すれば、1 つの大きなチェストになります
tips.game.42	手なずけたオオカミの HP は尻尾の状態でわかります。回復するには、肉を与えましょう
tips.game.43	染料は、色々な材料から作ることができます。たとえば、サボテンをかまどで焼くと、緑の染料ができます
tips.game.44	モバイル デバイスでは、Minecraft ストアの「音楽」カテゴリーから「Minecraft の音楽」パックをダウンロードできます。
tips.game.45	動物の中には、小麦を持っているとついてくるものがいます
tips.trivia.1	BGM 制作: C418
tips.trivia.2	アップデートも予定中です。お楽しみに!
tips.trivia.3	Mojang はスタッフの数より受けた賞の数の方が多かったりします
tips.trivia.4	有名人も Minecraft をプレイ中!
tips.trivia.5	バグと目を合わせてはいけません
tips.trivia.6	クリーパーはプログラムのバグから生まれました
tips.trivia.7	ニワトリ? それともアヒル?
tips.trivia.8	MINECON には参加しましたか?
tips.trivia.9	Mojang のスタッフですらジャンクボーイの素顔は知りません
tips.trivia.10	Minecraft Wiki があるのをご存知ですか?
tips.trivia.11	MINECON 2011 は、ネバダ州ラスベガス (アメリカ合衆国) で開催されました!
tips.trivia.12	MINECON 2012 は、パリ (フランス) で開催されました!
tips.trivia.13	MINECON 2013 はフロリダ州オーランド (アメリカ合衆国) で開催されました!
tips.trivia.14	MINECON 2014 がどこで開催されたかをおぼえている人はいません
tips.trivia.15	MINECON 2015 は、ロンドン (イギリス) で開催されました!
tips.trivia.16	MINECON 2016 は、カリフォルニア州アナハイム (アメリカ合衆国) で開催されました!
tips.trivia.17	ウワサは鵜呑みにしないこと。ほどほどに信じるのが一番!
tips.trivia.18	Minecraft で最初のバージョンは、わずか 6 日間で作られました!
tips.trivia.19	実は、エンダーマンは英語を逆さ読みでしゃべっています
tips.trivia.20	Minecraft は、もともと Cave Game という名前でした
tips.trivia.21	雷に打たれた豚は、ゾンビ ピッグマンになります!
tips.trivia.22	エンダーマンはお風呂が大嫌いです!
tips.trivia.23	アイアン ゴーレムはときどき、子供の村人に花をあげています!
tips.trivia.24	レアなクモの姿として、クモの上にガイコツが乗っているスパイダー ジョッキーがいます!
tips.trivia.25	暗黒界で 1 ブロック移動すると、元の世界で 8 ブロック移動したことになります
numc3ds.transfer.import	ワールドをインポート中
numc3ds.transfer.export	ワールドをエクスポート中
numc3ds.transfer.export_action	ワールドをエクスポート
numc3ds.transfer.copying	ワールドをコピー中
numc3ds.transfer.verifying	ワールドを確認中
numc3ds.transfer.replacing	エクスポートを置き換え中
numc3ds.transfer.invalid	無効なワールドをスキップしました
numc3ds.transfer.capacity	ストレージの空き容量が不足しています
numc3ds.transfer.cancelled	転送をキャンセルしました
numc3ds.transfer.cleanup	SDカードのクリーンアップが必要です
numc3ds.transfer.complete	転送が完了しました
numc3ds.transfer.replace	エクスポートを置き換える
numc3ds.transfer.cancel	キャンセル
