tips.game.skinpacks	Puedes cambiar el aspecto de tu personaje con el pack de aspecto de la Tienda. Ve a la "Tienda" en el menú principal para ver qué hay disponible.
tips.game.1	¡Los gólems de hierro pelearán por ti!
tips.game.2	Varía la configuración de brillo para que la visualización del juego sea más clara o más oscura.
tips.game.3	Si estableces la dificultad del juego en Pacífico, tu salud se regenerará automáticamente. ¡Además, no saldrán monstruos por la noche!
tips.game.4	Dale un hueso a un lobo para domesticarlo. Puedes hacer que se siente o que te siga.
tips.game.5	Si te pones una calabaza en la cabeza, los Enderman no te atacarán.
tips.game.6	Si duermes en una cama de noche, el juego avanzará hasta el amanecer, pero en los juegos multijugador todos los jugadores tienen que dormir en camas al mismo tiempo.
tips.game.7	Los cerdos, las vacas, las ovejas, los conejos y las gallinas se convierten en comida. ¡Cocínala y cómetela para recuperar tu salud!
tips.game.8	Consigue el cuero de las vacas y úsalo para fabricar armaduras y libros.
tips.game.9	Si tienes una cubeta vacía, puedes llenarla con leche de vaca, agua ¡o lava!
tips.game.10	Usa un azadón para preparar el terreno para plantar.
tips.game.11	Las arañas no atacan durante el día, a no ser que tú las ataques a ellas.
tips.game.12	Si alimentas a un animal, evitarás que desaparezca. Construye un corral para mantener a tus animales a salvo.
tips.game.13	La comida cocinada sacia el hambre mejor que la comida cruda.
tips.game.14	Fabrica antorchas para iluminar las zonas oscuras. ¡Los monstruos merodean en la oscuridad!
tips.game.15	¡Con una vagoneta y un riel llegarás a tu destino más rápido!
tips.game.16	Planta retoños y se convertirán en árboles.
tips.game.17	Los hombres cerdo no te atacarán a no ser que tú los ataques a ellos.
tips.game.18	Puedes dormir en una cama para cambiar el punto de generación del juego y avanzar hasta el amanecer.
tips.game.19	¡Lanza esas bolas de fuego de vuelta al Ghast!
tips.game.20	Si construyes un portal podrás viajar a otra dimensión: el inframundo.
tips.game.22	¡Utiliza la herramienta adecuada! ¡Puedes escarbar tierra mucho más rápido con una pala que con un pico!
tips.game.23	Si no encuentras carbón para las antorchas, puedes convertir a los árboles en carbón vegetal con un horno.
tips.game.24	Excavar en línea recta hacia abajo o hacia arriba no es buena idea.
tips.game.25	¡El polvo de hueso (se fabrica con un hueso de esqueleto) se puede usar como fertilizante y hace que las cosas crezcan al instante!
tips.game.26	¡Los Creepers explotan cuando se acercan a ti!
tips.game.27	La obsidiana se crea cuando el agua toca un bloque de origen de lava.
tips.game.28	Si quitas el bloque de origen del agua o la lava, el flujo desaparecerá por completo.
tips.game.29	Los adoquines son resistentes a las bolas de fuego del Ghast, lo que los hace útiles para defender portales.
tips.game.30	Los bloques que se pueden usar como fuente de luz derriten la nieve y el hielo. Entre ellos se incluyen las antorchas, las piedras luminosas y las calabazas iluminadas.
tips.game.31	Ten cuidado cuando construyas estructuras de lana al aire libre, ya que los rayos de las tormentas pueden prenderles fuego.
tips.game.32	Una sola cubeta de lava se puede usar para fundir 100 bloques en un horno.
tips.game.33	El instrumento que toca un bloque musical depende del material que tenga debajo.
tips.game.34	Los zombis y los esqueletos pueden sobrevivir a la luz del día si están en el agua o si tienen un casco.
